MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1001056058075,13.67,0.05,157.14548,-0.00839,55597.36359,0
1001056058075,13.67,0.05,157.14552,-0.00839,55597.37189,0
1001056058075,13.68,0.05,157.14553,-0.00841,55597.38026,0
1001056058075,13.66,0.05,157.14550,-0.00838,55615.32320,0
1001056058075,13.63,0.05,157.14554,-0.00838,55615.33126,0
1001056058075,13.66,0.05,157.14549,-0.00837,55615.33935,0
1001056058075,13.68,0.05,157.14551,-0.00838,55615.34755,0
1001056058075,13.62,0.05,157.14552,-0.00834,55718.15729,0
1001056058075,13.60,0.05,157.14547,-0.00833,55718.16469,0
1001056058075,13.61,0.05,157.14550,-0.00837,55718.17216,0
1001056058075,13.61,0.05,157.14548,-0.00840,55718.17955,0
1001056058075,13.66,0.05,157.14555,-0.00835,55631.32500,0
