wave flux_0kms flux_-120kms flux_-130kms flux_-140kms flux_-150kms ISM_attenuation
1.212345000000007531e+03 5.635628300536321585e-18 3.956551373350692926e-17 4.590031295216264318e-17 5.313570258784659769e-17 6.138032047210835586e-17 9.636106952380505408e-01
1.212350000000007640e+03 5.758625736406461037e-18 4.030139663325838671e-17 4.674169947595745569e-17 5.409546324510837198e-17 6.247253556795266769e-17 9.636106952380505408e-01
1.212355000000007749e+03 5.884116404526770603e-18 4.104963252969202910e-17 4.759696273973838907e-17 5.507077019639808094e-17 6.358211990723927857e-17 9.636106952380505408e-01
1.212360000000007858e+03 6.012146393516972138e-18 4.181040169628797792e-17 4.846630057110486486e-17 5.606183978402216755e-17 6.470930924580951561e-17 9.636106952380505408e-01
1.212365000000007967e+03 6.142762545381211113e-18 4.258388651754920461e-17 4.934991302977154066e-17 5.706889069699696676e-17 6.585434179171307130e-17 9.636106952380505408e-01
1.212370000000008076e+03 6.276012465746904168e-18 4.337027150420292948e-17 5.024800242210017570e-17 5.809214398460484872e-17 6.701745821744898002e-17 9.636106952380505408e-01
1.212375000000008185e+03 6.411944534200708235e-18 4.416974330833454225e-17 5.116077331552776117e-17 5.913182306980652440e-17 6.819890167202002901e-17 9.636106952380505408e-01
1.212380000000008295e+03 6.550607914721819995e-18 4.498249073845048194e-17 5.208843255288735326e-17 6.018815376250525475e-17 6.939891779279404625e-17 9.636106952380505408e-01
1.212385000000008404e+03 6.692052566212628784e-18 4.580870477446535532e-17 5.303118926661611126e-17 6.126136427265763275e-17 7.061775471716681452e-17 9.636106952380505408e-01
1.212390000000008513e+03 6.836329253126726800e-18 4.664857858260898598e-17 5.398925489284569693e-17 6.235168522322515098e-17 7.185566309402057191e-17 9.636106952380505408e-01
1.212395000000008622e+03 6.983489556194305877e-18 4.750230753024934491e-17 5.496284318537049272e-17 6.345934966296145206e-17 7.311289609497299570e-17 9.636106952380505408e-01
1.212400000000008731e+03 7.133585883244957020e-18 4.837008920062633982e-17 5.595217022948875191e-17 6.458459307903008485e-17 7.438970942540899077e-17 9.636106952380505408e-01
1.212405000000008840e+03 7.286671480127797957e-18 4.925212340749254357e-17 5.695745445571081940e-17 6.572765340944668981e-17 7.568636133529142429e-17 9.636106952380505408e-01
1.212410000000008949e+03 7.442800441728902529e-18 5.014861220965579558e-17 5.797891665333038659e-17 6.688877105534042430e-17 7.700311262974385504e-17 9.636106952380505408e-01
1.212415000000009059e+03 7.602027723085865508e-18 5.105975992541917750e-17 5.901677998385304870e-17 6.806818889302889622e-17 7.834022667939867516e-17 9.636106952380505408e-01
1.212420000000009168e+03 7.764409150599645369e-18 5.198577314691368523e-17 6.007126999427697536e-17 6.926615228590121956e-17 7.969796943050530259e-17 9.636106952380505408e-01
1.212425000000009277e+03 7.930001433343216629e-18 5.292686075431896898e-17 6.114261463022096115e-17 7.048290909610294259e-17 8.107660941479201482e-17 9.636106952380505408e-01
1.212430000000009386e+03 8.098862174467104159e-18 5.388323392996700147e-17 6.223104424889336059e-17 7.171870969601726508e-17 8.247641775907544558e-17 9.636106952380505408e-01
