wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1201.8500,0,3.2505,4.2324e-09,0.9955,4.246
1201.9000,0,3.2505,4.2336e-09,0.99637,4.2469
1201.9500,0,3.2505,4.2349e-09,0.99725,4.2477
1202.0000,0,3.2505,4.2361e-09,0.99812,4.2486
1202.0500,0,3.2505,4.2373e-09,0.99899,4.2495
1202.1000,0,3.2505,4.2386e-09,0.99986,4.2504
1202.1500,0,3.2505,4.2398e-09,1.0007,4.2512
1202.2000,0,3.2505,4.241e-09,1.0016,4.2521
1202.2500,0,3.2505,4.2422e-09,1.0025,4.253
1202.3000,0,3.2505,4.2434e-09,1.0034,4.2539
1202.3500,0,3.2505,4.2447e-09,1.0042,4.2547
1202.4000,0,3.2505,4.2459e-09,1.0051,4.2556
1202.4500,0,3.2505,4.2471e-09,1.006,4.2565
1202.5000,0,3.2505,4.2483e-09,1.0068,4.2573
1202.5500,0,3.2505,4.2495e-09,1.0077,4.2582
1202.6000,0,3.2505,4.2507e-09,1.0086,4.2591
1202.6500,0,3.2505,4.2519e-09,1.0095,4.26
1202.7000,0,3.2505,4.253e-09,0.99208,4.2426
1202.7500,0,3.2505,4.2542e-09,0.95176,4.2023
1202.8000,0,3.2505,4.2554e-09,0.95258,4.2031
1202.8500,0,3.2505,4.2566e-09,0.9534,4.2039
1202.9000,0,3.2505,4.2578e-09,0.95423,4.2047
1202.9500,0,3.2505,4.2589e-09,0.95505,4.2055
1203.0000,0,3.2505,4.2601e-09,0.95587,4.2064
1203.0500,0,3.2505,4.2613e-09,0.9567,4.2072
1203.1000,0,3.2505,4.2624e-09,0.95752,4.208
1203.1500,0,3.2505,4.2636e-09,0.95834,4.2088
1203.2000,0,3.2505,4.2647e-09,0.95917,4.2097
1203.2500,0,3.2505,4.2659e-09,0.95999,4.2105
1203.3000,0,3.2505,4.267e-09,0.96082,4.2113
1203.3500,0,3.2505,4.2682e-09,0.96164,4.2121
1203.4000,0,3.2505,4.2693e-09,0.96246,4.213
1203.4500,0,3.2505,4.2705e-09,0.96329,4.2138
1203.5000,0,3.2505,4.2716e-09,0.96411,4.2146
1203.5500,0,3.2505,4.2727e-09,0.96494,4.2154
1203.6000,0,3.2505,4.2739e-09,0.96576,4.2163
1203.6500,0,3.2505,4.275e-09,0.96659,4.2171
1203.7000,0,3.2505,4.2761e-09,0.96741,4.2179
1203.7500,0,3.2505,4.2772e-09,0.96824,4.2187
1203.8000,0,3.2505,4.2783e-09,0.96906,4.2196
1203.8500,0,3.2505,4.2795e-09,0.96989,4.2204
1203.9000,0,3.2505,4.2806e-09,0.97072,4.2212
1203.9500,0,3.2505,4.2817e-09,0.97154,4.222
1204.0000,0,3.2505,4.2828e-09,0.97237,4.2229
1204.0500,0,3.2505,4.2839e-09,0.97319,4.2237
1204.1000,0,3.2505,4.285e-09,0.97402,4.2245
1204.1500,0,3.2505,4.2861e-09,0.97485,4.2253
1204.2000,0,3.2505,4.2871e-09,0.97567,4.2262
1204.2500,0,3.2505,4.2882e-09,0.9765,4.227
1204.3000,0,3.2505,4.2893e-09,0.97732,4.2278
1204.3500,0,3.2505,4.2904e-09,0.97815,4.2287
1204.4000,0,3.2505,4.2915e-09,0.97898,4.2295
1204.4500,0,3.2505,4.2925e-09,0.94431,4.1948
1204.5000,0,3.2505,4.2936e-09,0.92387,4.1744
1204.5500,0,3.2505,4.2947e-09,0.92465,4.1751
1204.6000,0,3.2505,4.2957e-09,0.92543,4.1759
1204.6500,0,3.2505,4.2968e-09,0.92621,4.1767
1204.7000,0,3.2505,4.2978e-09,0.92699,4.1775
1204.7500,0,3.2505,4.2989e-09,0.92777,4.1783
1204.8000,0,3.2505,4.2999e-09,0.92855,4.179
1204.8500,0,3.2505,4.301e-09,0.92933,4.1798
1204.9000,0,3.2505,4.302e-09,0.9301,4.1806
1204.9500,0,3.2505,4.3031e-09,0.93088,4.1814
1205.0000,0,3.2505,4.3041e-09,0.93167,4.1822
1205.0500,0,3.2505,4.3051e-09,0.93245,4.1829
1205.1000,0,3.2505,4.3062e-09,0.93323,4.1837
1205.1500,0,3.2505,4.3072e-09,0.93401,4.1845
1205.2000,0,3.2505,4.3082e-09,0.93479,4.1853
1205.2500,0,3.2505,4.3092e-09,0.93557,4.1861
1205.3000,0,3.2505,4.3102e-09,0.93635,4.1868
